release_date,required_age,price,windows,mac,linux,achievements,recommendations,developers,publishers,categories,genres,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,absolute_score,success_class
2021-09-28,0,59.99,True,False,False,133,244795,['Amazon Games'],['Amazon Games'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']",Action Adventure MassivelyMultiplayer RPG,8059,0,3941,0,106611,alto_successo
2017-02-01,0,0.0,True,False,False,0,149,['VRChat Inc.'],['VRChat Inc.'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'In-App Purchases']",Adventure Casual MassivelyMultiplayer Simulation Sports FreeToPlay EarlyAccess,0,0,0,0,120209,alto_successo
2022-10-20,0,4.99,True,True,False,220,234574,['poncle'],['poncle'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",Action Casual Indie RPG,2289,198,1041,328,239540,alto_successo
2016-06-06,0,49.99,True,True,True,231,237325,['Paradox Development Studio'],['Paradox Interactive'],"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Simulation Strategy,18552,551,4526,390,263781,alto_successo
2021-11-19,17,59.99,True,False,False,34,229306,['DICE'],['Electronic Arts'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'HDR available']",Action Adventure Casual,17349,2651,865,113,-20544,alto_successo
2019-03-21,17,59.99,True,False,False,34,228653,"['FromSoftware, Inc.']","['Activision (Excluding Japan and Asia)', 'FromSoftware, Inc. (Japan)', '方块游戏 (Asia)']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure,2638,385,1850,65,284504,alto_successo
2015-09-15,0,9.99,True,True,True,0,228027,['tobyfox'],['tobyfox'],"['Single-player', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Indie RPG,0,0,0,0,238500,alto_successo
2023-02-10,0,59.99,True,False,False,45,224368,['Avalanche Software'],['Warner Bros. Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'HDR available', 'Family Sharing']",Action Adventure RPG,2275,347,1844,295,251171,alto_successo
2020-06-18,0,29.99,True,False,False,50,220570,['Respawn Entertainment'],['Electronic Arts'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Action,659,284,363,189,226530,alto_successo
2019-12-03,18,39.99,True,False,False,700,216751,"['343 Industries', 'Splash Damage', 'Ruffian Games', 'Bungie', 'Saber Interactive']",['Xbox Game Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,1894,295,754,462,201791,alto_successo
